No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
496,L202300129,Impact Integrated,PLAYER UNKNOWN BATTLEGROUND MOBILE GLOBAL CHAMPIONSHIP (PMGC) PERINGKAT KUMPULAN 2023,11/12/2023,17/12/2023
497,L202400805,Cyclomotion Sdn Bhd,PKNS SELANGOR INTERNATIONAL RACE 2024,23/06/2024,23/06/2024
498,L202501251,Malatra Events Enterprise,PIRATE BACKYARD ULTRA,31/01/2026,02/02/2026
499,L202200566,Oriental Global Event Management,Pinktober Fun Run - Ipoh,30/10/2022,30/10/2022
500,L202501208,COMRADES ALL STAR SOLUTIONS,PINK ULTRA 2025,01/11/2025,01/11/2025
501,L202501206,RUNBIKEAWAY SDN BHD,PINK RIBBON RUN 2025,25/10/2025,25/10/2025
502,L202200592,At Event Quest Sdn Bhd,Pin Hwa's 5099 Run,04/12/2022,04/12/2022
503,L201900182,VIS PROFESSIONAL PORTFOLIO SDN BHD,PIDC Mouth Cancer Awareness Week Chilli Walk 2019 (Charity event),17/11/2019,17/11/2019
504,L202300150,SKECHERS MALAYSIA SDN BHD,PICKLEBALL INVITATIONAL TOURNAMENT,25/11/2023,26/11/2023
505,L202501139,FISHBOWL VENTURES SDN. BHD,PICKLE POKE TOURNAMENT & BAZAAR,23/08/2025,23/08/2025
506,L202200539,Ball Madness Sdn Bhd,PIALA AMATUR DAN EMPAT PENJURU,09/09/2022,10/10/2022
507,L202601272,Inertia Marketing (M) Sdn Bhd,Phoenix Cup 2026,17/01/2026,18/01/2026
508,L202400731,PROFESSIONAL GOLF OF MALAYSIA,PGM TOYOTA TOUR 2024,20/02/2024,31/12/2024
509,L202601267,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2026,27/01/2026,31/12/2026
510,L202601285,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2026,27/01/2026,31/12/2026
511,L202500968,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2025,04/02/2025,20/11/2025
512,L202300626,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2023,14/01/2023,31/12/2023
513,L202100371,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2021 (LOCAL),11/04/2021,31/12/2021
514,L202100372,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2021,07/06/2021,31/12/2021
515,L202000362,PROFESSIONAL GOLF OF MALAYSIA,PGM TOUR 2020,20/04/2020,31/12/2020
516,L202601271,Score Sports Management Sdn Bhd,Petronita Orchid Run & Ride 2026,08/02/2026,08/02/2026
517,L202300057,SCORE SPORTS MANAGEMENT SDN BHD,PETRONITA ORCHID RUN & RIDE 2023,19/08/2023,19/08/2023
518,L202501024,SEPANG INTERNATIONAL CIRCUIT,PETRONAS GRAND PRIX OF MALAYSIA 2025,24/10/2025,26/10/2025
519,L202400852,MST GOLF MANAGEMENT SDN BHD,PETRONAS 50TH ANNIVERSARY GOLF TOURNAMENT,25/08/2024,25/08/2024
520,L201900181,ALAM MEDIA RESOURCES,PESTA SUKAN MUAR 2019,23/11/2019,23/11/2019
521,L202300059,MST GOLF MANAGEMENT SDN BHD,PERTANDINGAN GOLF MADANI 2023,23/09/2023,23/09/2023
522,L202400829,Dato' Wasitah Consultancy Sdn Bhd,Pertandingan Bola Tampar Pantai,09/08/2024,10/08/2024
523,L202601288,Delta World Sdn Bhd,PERODUA NATIONAL AMATEUR GOLF SERIES 2026,02/04/2026,29/09/2026
524,L202300672,DELTA WORLD SDN BHD,PERODUA NATIONAL AMATEUR GOLF SERIES 2023,24/03/2023,24/10/2023
525,L202000358,DELTA TREND GOLF & LEISURE HOLIDAYS SDN BHD,PERODUA NATIONAL AMATEUR GOLF SERIES 2020,29/03/2020,19/09/2020
526,L202200446,DELTA WORLD SDN BHD,PERODUA NATIONAL AMATEUR GOLF SERIES,21/05/2022,15/10/2022
527,L202500987,DELTA WORLD SDN BHD,PERODUA NATIONAL AMATEUR GOLF SERIES,27/02/2025,30/09/2025
528,L202501250,MEP VENTURES SDN. BHD,PERLIS ULTRA MARATHON (PUTRA) 3.0,20/12/2025,20/12/2025
529,L202300662,Malatra Events Enterprise,PERLIS ENDURANCE RUN 2023,11/03/2023,12/03/2023
530,L202400815,MEP VENTURES SDN. BHD,PERLIS CYCLO FEST,11/10/2024,13/10/2024
531,L202000319,MESIS SDN BHD,PERKESO RUN 2020,01/03/2020,01/03/2020
532,L202501156,Swimon Enterprise,Perhentian Island Challenge 2025,03/10/2025,04/10/2025
533,L202400871,Swimon Enterprise,Perhentian Island Challenge,28/09/2024,28/09/2024
534,L201900093,SWIMON ENTERPRISE,Perhentian 16KM Swim Marathon,05/10/2019,05/10/2019
535,L202200464,XS Elite Performance Services,Perak Triathlon 2022,03/07/2022,03/07/2022
536,L201900014,XS Elite Performance Services,Perak Triathlon,23/06/2019,23/06/2019
537,L202400845,BIN AFIQ,PERAK SNOOKER CHAMPIONSHIP (PSC) 2024,17/08/2024,23/08/2024
538,L202400800,XS Elite Performance Services,Perak Multisport Festival,29/06/2024,01/07/2024
539,L202501067,XS Elite Performance Services,Perak Multisport Festival,15/06/2025,15/06/2025
540,L202400830,RAG LAND RESOURCES,PERAK FOOTBALL LEAGUE 2024 PIALA DATO SERI ANWAR IBRAHIM AHLI PARLIMEN TAMBUN,08/08/2024,09/08/2024
541,L202501115,PRESTIGE EVENTS PRODUCTION,PENINSULAR DIVIDE - ULTRA CYCLING RACE 2025,12/10/2025,18/10/2025
542,L202601282,MMTF CONSULTANT,Penang Skyrace 2026,24/04/2026,26/04/2026
543,L202400730,Oriental Global Event Management,PENANG SENTRAL FUN RUN 2024,25/02/2024,25/02/2024
544,L202200613,Oriental Global Event Management,Penang Sentral Fun Run,26/12/2022,26/12/2022
545,L202000344,Oriental Global Event Management,Penang Happy Panda Run,22/03/2020,22/03/2020
546,L202200594,Cyclomotion Sdn Bhd,Penang 786 King of Mountain (KOM) Challenge 2022,26/11/2022,26/11/2022
547,L202501049,TSF VENTURES SDN BHD,PEKAN CLASSICS - A UCI GRAN FONDO WORLD SERIES 2025,20/06/2025,22/06/2025
548,L202400764,TLM EVENT SDN BHD,Paw Paw Walk,28/04/2024,28/04/2024
549,L201900113,DYNACORP ALLIANCE (M) SDN BHD (ACTIVENATION.ASIA),PASIR GUDANG MALAYSIA DAY RUN 2019,16/09/2019,16/09/2019
550,L202501210,Gameon Parc Sdn Bhd,Paramount Cup 2025,24/10/2025,26/10/2025
551,L202501068,Actife Style Concept Sdn Bhd,Pantai Marathon 2025,22/06/2025,22/06/2025
552,L202400803,Actife Style Concept Sdn Bhd,Pantai Marathon 2024,23/06/2024,23/06/2024
553,L202400720,SCORE SPORTS MANAGEMENTS SDN BHD,PANASONIC COOKING HEALTHY FUN RUN 2024,28/01/2024,28/01/2024
554,L202501017,Bold D Court & Manage Sdn Bhd,Panas Cup 2025,18/04/2025,18/04/2025
555,L201900071,NORTHERN RUNNERS RESOURCES,Pahlawan Run 2019,08/09/2019,08/09/2019
556,L202501118,THE BONGCIT HUB,PAHANG ULTRA 2025 LARIAN BUSANA TRADISIONAL,06/09/2025,07/09/2025
557,L202400748,THE BONCIT HUB,PAHANG ULTRA 2024,07/09/2024,08/09/2024
558,L202200546,STAGEMAKER SDN BHD,PAHANG OCEAN CANOE INTERNATIONAL CHALLENGE,20/11/2022,21/11/2022
559,L201900260,adham bike centre,Pahang Medical Centre monsoon fun run,28/12/2019,28/12/2019
560,L202000303,ELPIS EVENT MANAGEMENT,PAHANG ECO BEACH RUN 2020,12/04/2020,12/04/2020
561,L202501121,ELPIS EVENT MANAGEMENT,PAHANG ECO 2025,01/08/2025,03/08/2025
562,L202400741,ELPIS EVENT MANAGEMENT,PAHANG ECO 2024,23/08/2024,25/08/2024
563,L202300671,ELPIS EVENT MANAGEMENT,PAHANG ECO 2023,25/08/2023,27/08/2023
564,L201900231,FB GROUP SDN BHD,OPPO RENO FESTIVE NIGHT RUN 2019,21/12/2019,21/12/2019
565,L202000349,TGC MARKETING SDN.BHD.,ONE Esports Dota 2 Jakarta Invitational Regional Qualifier,07/03/2020,08/03/2020
566,L201900044,SHOW PRO ENTERTAINMENT SDN BHD,one championship,-,12/07/2019
567,L202501136,MST GOLF ARENA SDN BHD,OMEGA TROPHY 2025,11/09/2025,11/09/2025
568,L202300076,MST GOLF MANAGEMENT SDN BHD,OMEGA TROPHY 2023,26/09/2023,26/09/2023
569,L202200506,MST GOLF MANAGEMENT SDN BHD,OMEGA TROPHY,08/09/2022,08/09/2022
570,L202200474,TLM EVENT SDN BHD,OLYMPIC DAY FUN RUN,19/06/2022,19/06/2022
571,L202200405,Matahari Cycle Tours and Travel Sdn Bhd,Ol Kakis Tourism Fellowship Ride 2022,26/03/2022,26/03/2022
572,L202300071,OCEANMAN MALAYSIA ENTERPRISE,OCEANMAN REDANG 11 2023,25/08/2023,25/08/2023
573,L202501134,Tough Gorilla Ventures,OCEANMAN KOTA KINABALU MALAYSIA,20/07/2025,20/07/2025
574,L202400795,Multigreen Events Sdn Bhd,OCBC Cycle Kuala Lumpur 2024,03/03/2024,03/03/2024
575,L202300663,Multigreen Events Sdn Bhd,OCBC Cycle Kuala Lumpur 2023,12/03/2023,12/03/2023
576,L202501239,Multigreen Events Sdn Bhd,OCBC CYCLE JOHOR BHARU,13/12/2025,14/12/2025
577,L202500995,Multigreen Events Sdn Bhd,OCBC CYCLE,27/04/2025,27/04/2025
578,L201900217,TLM Management SDN BHD,OBS Christmas Run 2019,22/12/2019,22/12/2019
579,L202400962,TLM EVENT SDN BHD,OBS CHRISTMAS RUN,22/12/2024,22/12/2024
580,L202000277,TLM Management SDN BHD,OBS Chinese New Year Run 2020,19/01/2020,19/01/2020
581,L201900065,THE OUTWARD BOUND TRUST OF MALAYSIA,OBM FOREST TO SEA CHALLENGE 2019,29/09/2019,29/09/2019
582,L202601266,OASISEYE UTARA SDN BHD,OASIS CHARITY FUN RUN,25/01/2026,25/01/2026
583,L202300070,HYBRID MANAGEMENT SDN BHD,NX113 OD TRIATHLON 4 2023 & 4 OPEN WATER SWIM CHALLENGE 2023,20/08/2023,20/08/2023
584,L201900076,THE ORIGINS PRODUCTION SDN BHD,NuSkin Ultimate Agelog TR90 Run,22/09/2019,22/09/2019
585,L202300022,EC PIXELS,NPE HIGHWAY CHALLENGE 2023,09/07/2023,09/07/2023
586,L201900018,EC Pixels,NPE Highway Challenge,14/07/2019,14/07/2019
587,L202400846,Linkedup Asia Sdn Bhd,Novice Pickleball Challenge,17/08/2024,17/08/2024
588,L202501260,SPORTSYNC,NOVICE DOUBLES YEAR END CHALLENGE 2025,27/12/2025,28/12/2025
589,L202501126,Oriental Global Event Management,Northern Region Fun Run - Taiping,24/08/2025,24/08/2025
590,L202501099,Oriental Global Event Management,Northern Region Fun Run - Butterworth,10/08/2025,10/08/2025
591,L201900145,ASIAPRISE BIOTECH SDN BHD,NMC Pink Run,17/11/2019,17/11/2019
592,L202300145,NIMBUS GAMES SDN BHD,NIMBUS ESPORTS FEST,25/11/2023,26/11/2023
593,L202400790,Nimbus Games Sdn Bhd,Nimbus Esports Fest,08/06/2024,09/06/2024
594,L202500975,Oriental Global Event Management,New Year Run 2025,09/02/2025,09/02/2025
595,L201900251,JHK Events,New Year Run 2020,01/01/2020,01/01/2020
596,L202501252,Oriental Global Event Management,NEW YEAR FUN RUN 2026 - TAIPING,18/01/2026,18/01/2026
597,L202501249,Oriental Global Event Management,NEW YEAR FUN RUN 2026 - BUTTERWORTH,11/01/2026,11/01/2026
598,L202601261,Oriental Global Event Management,NEW YEAR FUN RUN 2026 - ALOR SETAR,24/01/2026,24/01/2026
599,L202400960,Oriental Global Event Management,New Year Fun Run 2025 - Kulim,04/01/2025,04/01/2025
600,L202500969,Oriental Global Event Management,New Year Fun Run 2025 - Butterworth,19/01/2025,19/01/2025
601,L202000265,Oriental Global Event Management,New Year Fun Run 2020 - Taiping,12/01/2020,12/01/2020
602,L202000272,Oriental Global Event Management,New Year Fun Run 2020 - Sungai Petani,18/01/2020,18/01/2020
603,L202000299,IJ EVENT MANAGEMENT,New Year Fun Run 2020 - Butterworth,09/02/2020,09/02/2020
604,L202000266,Oriental Global Event Management,New Year Fun Run 2020 - Alor Setar,11/01/2020,11/01/2020
605,L202000271,IJ EVENT MANAGEMENT,NEW YEAR FUN RUN 2020,19/01/2020,19/01/2020
606,L202400721,Oriental Global Event Management,New Year Fun Run - Taiping,28/01/2024,28/01/2024
607,L202400726,Oriental Global Event Management,NEW YEAR FUN RUN - IPOH,04/02/2024,04/02/2024
608,L202200441,HYBRID MANAGEMENT SDN BHD,"NeptuneX OWS Championship Series 2, Port Dickson",22/05/2022,22/05/2022
609,L202300032,HYBRID MANAGEMENT SDN BHD,NATIONAL TRIATHLON CHAMPIONSHIP DESARU 2023,23/07/2023,23/07/2023
610,L202501150,National Coalition For Mental Wellbeing Berhad,National Call to Action: Champion Malaysian Youth Mental Wellbeing in the Gaming Era campaign,01/09/2025,30/11/2025
611,L201900017,NATIONAL STROKE ASSOCIATION OF MALAYSIA(PERSATUAN ANGIN AHMAR KEBANGSAAN MALAYSIA),NASAM STROKE GAMES,19/10/2019,20/10/2019
612,L202300082,ENDURANCE NATURE SDN BHD,N8 ULTIMATE TRAILS OF THE SOUTH,09/09/2023,09/09/2023
613,L202000321,NM GALAXY SDN. BHD.,MY VETERAN - MY HERO CHARITY RUN 2020,16/02/2020,16/02/2020
614,L202501009,IO ESPORTS SDN BHD,MY Honor of Kings League (MKL),18/04/2025,08/06/2025
615,L202501196,MUEZZA EDUCATION GROUP SDN BHD,MUEZZA ARCHERY CHAMPIONSHIP VOLUME 1,19/12/2025,21/12/2025
616,L202501154,ALL TRAIL PROJECT EVENT MANAGEMENT,MUALLIM ULTRA 2025,13/09/2025,14/09/2025
617,L202400917,AKAMAI ENTERPRISE,MUADZAM SHAH OPEN CHALLENGE,27/10/2024,27/10/2024
618,L202501177,MODAL EHSAN SDN BHD,MTD FUN RUN 2025,01/11/2025,01/11/2025
619,L202501197,Maestro Swiss Industries Sdn Bhd,MSWIN 5KM FUN RUN,06/12/2025,06/12/2025
620,L202501127,MANAGEMENT AND SCIENCE UNIVERSITY SDN.BHD,MSUMC RUN 2025 HEARTBEAT IN MOTION,09/08/2025,09/08/2025
621,L202000355,MSU HOLDINGS SDN BHD,MSUMC RUN 2020,19/04/2020,19/04/2020
622,L202200505,MST GOLF MANAGEMENT SDN BHD,MST Golf TaylorMade ilovegolf Tournament 2022,24/08/2022,24/08/2022
623,L202200549,MST GOLF MANAGEMENT SDN BHD,MST Golf Srixon ilovegolf Tournament,19/10/2022,19/10/2022
624,L202200410,MST GOLF MANAGEMENT SDN BHD,MST GOLF HONMA ILOVEGOLF TOURNAMENT 2022,02/03/2022,02/03/2022
625,L202501203,MST GOLF SDN BHD,MST GOLF COMMUNITY GOLF DAY BY DENZA,21/11/2025,21/11/2025
626,L202500998,MST GOLF ARENA SDN BHD,MST Golf Community Golf Day 2025,23/04/2025,23/04/2025
627,L202501066,MST GOLF ARENA SDN BHD,MST Golf Community Golf Day 2025,28/06/2025,28/06/2025
628,L202501079,MST GOLF ARENA SDN BHD,MST Golf Community Golf Day 2025,12/07/2025,12/07/2025
629,L202501218,Mountain Goat Events,Mount Ophir Trail 2025,07/11/2025,09/11/2025
630,L202400850,XS Elite Performance Services,Morib Duathlon 2024,24/08/2024,25/08/2024
631,L202000354,FANATIC 4 EVENT,MOONLIGHT NEON RUN 2020 -CYBERJAYA,05/04/2020,05/04/2020
632,L202300086,SCORE SPORTS MANAGEMENT SDN BHD,MOG VISION CARNIVAL FUN RUN,10/09/2023,10/09/2023
633,L202501155,IO ESPORTS SDN BHD,MOBILE LEGENDS: BANG BANG (MLBB) PROFESSIONAL LEAGUE (MPL) MALAYSIA MUSIM KE-16,13/09/2025,19/10/2025
634,L202501222,IO Esports Sdn Bhd,MOBILE LEGENDS: BANG BANG (MLBB) PROFESSIONAL LEAGUE (MPL) MALAYSIA MUSIM KE-16,13/11/2025,16/11/2025
635,L201900199,Mineski Events Team SDN BHD,Mobile Legends World Championship M1,11/11/2019,17/11/2019
636,L202501011,IO Esports Sdn Bhd,Mobile Legends Professional League Malaysia Season 15,19/04/2025,15/06/2025
637,L201900144,MEASAT BROADCAST NETWORK SYSTEMS SDN BHD,Mobile Legends Professional League Malaysia/ Singapore season 4,19/10/2019,20/10/2019
638,L202300053,IO ESPORTS SDN BHD,MOBILE LEGENDS BANGBANG: PROSESSIONAL LEAGUE MALAYSIA KE12,18/08/2023,08/10/2023
639,L202100377,IO Esports Sdn Bhd,Mobile Legends Bangbang Pro League Malaysia Season 7,28/05/2021,30/05/2021
640,L202000316,Universiti Telekom Sdn. Bhd,MMU BoulderX,10/04/2020,12/04/2020
641,L202400787,INNOVATIVE OILFIELD SOLUTIONS SDN BHD,MLBB WOMEN INVITATIONAL SELECTION,08/06/2024,09/06/2024
642,L202300134,Impact Integrated,MLBB M6 WORLD CHAMPIONSHIP WILD CARD 2023,30/11/2024,15/12/2024
643,L202300128,Impact Integrated,MLBB M5 WORLD CHAMPIONSHIP WILD CARD 2023,02/11/2023,26/11/2023
644,L202501047,IO ESPORTS SDN. BHD,MLBB Academy League Musim Ketiga,26/06/2025,29/06/2025
645,L202501228,IO ESPORTS SDN. BHD,MLBB Academy League Musim Ke-4,21/11/2025,23/11/2025
646,L202400887,MLB TIGERS SDN. BHD,MLB TIGERS GRAND SLAM 2024,10/10/2024,13/10/2024
647,L202501217,unikorn events sdn bhd,Mizuno KL RunFest S/Ekiden 2025,09/11/2025,09/11/2025
648,L201900175,Bid Direct Sdn. Bhd.,Mitsui Outlet Park Fun Run 2019 KLIA,10/11/2019,10/11/2019
649,L202200561,BELLSCAPE SDN.BHD,Mitraland Charity Fun Run,20/11/2022,20/11/2022
650,L202300143,BELLSCAPE SDN BHD,MITRALAND ANNUAL CHARITY RUN 2023,26/11/2023,26/11/2023
651,L202300067,MOUNT MIRIAM CANCER HOSPITAL,MISSION POSSIBLE CHARITY RUN 2023,30/09/2023,30/09/2023
652,L202501158,Vertex Esports Productions Sdn Bhd,MILO Ultimate Pickleball Tournament 2025,06/09/2025,07/09/2025
653,L202300033,WORLD ENDURANCE MALAYSIA SDN BHD,MILO MALAYSIA BREAKFAST DAY RUN 2023,29/07/2023,30/07/2023
654,L202500989,World Endurance Malaysia Sdn Bhd,Milo Malaysia Breakfast Day 2025 Kuantan,20/04/2025,20/04/2025
655,L202501132,World Endurance Malaysia SDN BHD,MILO MALAYSIA BREAKFAST DAY 2025 - TERENGGANU,16/08/2025,16/08/2025
656,L202500979,World Endurance Malaysia SDN BHD,MILO MALAYSIA BREAKFAST DAY 2025 - PENANG,23/02/2025,23/02/2025
657,L202501131,World Endurance Malaysia SDN BHD,MILO MALAYSIA BREAKFAST DAY 2025 - KEDAH,23/08/2025,23/08/2025
658,L202500986,World Endurance Malaysia SDN BHD,MILO MALAYSIA BREAKFAST DAY 2025 - JOHOR,16/02/2025,16/02/2025
659,L202500972,World Endurance Malaysia SDN BHD,MILO MALAYSIA BREAKFAST DAY 2025,19/01/2025,19/01/2025
660,L202501052,Linkedup Asia Sdn Bhd,Milo Fathers Day Pickleball Tournament,15/06/2025,15/06/2025
661,L202000324,Gear Up Venture Sdn. Bhd.,Mid Valley Southkey Charity Run 2020 (MVSCR2020),04/07/2020,04/07/2020
662,L201900034,Gear Up Venture Sdn. Bhd.,Mid Valley City Charity Run 2019 (MVCCR 2019),22/09/2019,22/09/2019
663,L202501238,321 Group Holdings sdn bhd,"MFN INTERNATIONAL - GRAND FINAL - GENTING EDITION, MFN INTERNATIONAL GRAND FINALS 2025",06/12/2025,06/12/2025
664,L202300039,MOUNT ZOOM SDN BHD,MEX HIGHWAY CHALLENGE 2023,26/11/2023,26/11/2023
665,L202300119,MESUMA SPORTS SDN BHD,MESUMA CUP 2023,13/10/2023,15/10/2023
666,L202000329,FANATIC 4 EVENT,MERMAID RUN 2020 - SABAH,29/03/2020,29/03/2020
667,L202000318,FANATIC 4 EVENT,MERMAID RUN 2020 - MIRI SARAWAK,22/03/2020,22/03/2020
668,L202000314,FANATIC 4 EVENT,MERMAID RUN 2020 - ALOR SETAR,29/02/2020,29/02/2020
669,L202000285,FANATIC 4 EVENT,MERMAID RUN 2020,16/02/2020,16/02/2020
670,L201900074,RUNBIKEAWAY SERVICES,MERDEKA RUN @ SG BESAR 2019,31/08/2019,31/08/2019
671,L202300055,ORIENTAL GLOBAL EVENT MANAGEMENT,MERDEKA FUN RUN – TAIPING,27/08/2023,27/08/2023
672,L202300054,ORIENTAL GLOBAL EVENT MANAGEMENT,MERDEKA FUN RUN – KULIM,26/08/2023,26/08/2023
673,L202300045,ORIENTAL GLOBAL EVENT MANAGEMENT,MERDEKA FUN RUN – BUTTERWORTH,20/08/2023,20/08/2023
674,L202501152,Oriental Global Event Management,Merdeka Fun Run 2025 - Taiping,21/09/2025,21/09/2025
675,L202501163,Oriental Global Event Management,Merdeka Fun Run 2025 - Butterworth,28/09/2025,28/09/2025
676,L202400824,Oriental Global Event Management,MERDEKA FUN RUN 2024 - TAIPING,04/08/2024,04/08/2024
677,L202400849,Oriental Global Event Management,MERDEKA FUN RUN 2024 - KULIM,24/08/2024,24/08/2024
678,L202400853,Oriental Global Event Management,Merdeka Fun Run 2024 - Butterworth,25/08/2024,25/08/2024
679,L202200537,Oriental Global Event Management,Merdeka Fun Run - Ipoh,02/10/2022,02/10/2022
680,L202300042,ORIENTAL GLOBAL EVENT MANAGEMENT,MERDEKA FUN RUN SUNGAI PETANI,19/08/2023,19/08/2023
681,L202300043,ORIENTAL GLOBAL EVENT MANAGEMENT,MERDEKA FUN RUN IPOH,06/08/2023,06/08/2023
682,L202500999,MST GOLF ARENA SDN BHD,MercedesTrophy2025,27/05/2025,19/06/2025
683,L202400738,MST GOLF MANAGEMENT SDN BHD,MERCEDESTROPHY 2024,14/05/2024,20/06/2024
684,L202300665,MST GOLF MANAGEMENT SDN BHD,MERCEDESTROPHY 2023,11/05/2023,27/06/2023
685,L202200449,MST GOLF MANAGEMENT SDN BHD,MERCEDES TROPHY 2022,15/06/2022,21/07/2022
686,L202100373,MST Golf Management Sdn Bhd,Mercedes Trophy 2021,25/05/2021,15/07/2021
687,L202000345,MST Golf Management Sdn Bhd,Mercedes Trophy 2020,19/03/2020,23/06/2020
688,L202501080,TM Technology Services Sdn Bhd,Menara Alor Setar Run 2025,27/06/2025,28/06/2025
689,L202000289,bunduROCK,Melody Melancholic Run,05/04/2020,05/04/2020
690,L201900185,JomRun Sdn Bhd,Melaka Unicorn 5KM Fun Run,22/12/2019,22/12/2019
691,L201900172,Pacat Event Solutions,Melaka Ultra 2019,08/11/2019,10/11/2019
692,L202501003,28 SPORT CAFE,MELAKA PICKLEBALL CUP 2025,03/05/2025,04/05/2025
693,L201900040,DYNACORP ALLIANCE (M) SDN BHD (ACTIVENATION.ASIA),MELAKA MARATHON 2019,27/07/2019,28/07/2019
694,L202200601,RUNBIKEAWAY SERVICES,MELAKA INTERNATIONAL TOURISM ENDURANCE 2022,11/12/2022,11/12/2022
695,L202400860,Jojo Events Sdn Bhd,MELAKA INTERNATIONAL MARATHON 2024,25/08/2024,25/08/2024
696,L202400874,BRIELLE STUDIO,MELAKA ESPORTS SHOWDOWN 2024,21/09/2024,21/09/2024
697,L202400868,Lumen Sports Sdn Bhd,Melaka Endurance Run,21/09/2024,22/09/2024
698,L202400896,Lumen Sports Sdn Bhd,Melaka Bukit Beruang Ultra Challenge,26/10/2024,27/10/2024
699,L202501167,ULTRA EVENTS,Melaka Bukit Beruang Ultra Challenge,14/09/2025,14/09/2025
700,L202200536,Pyramid Bowl Sdn Bhd,MEGALANES SENIOR MASTERS 2022,27/09/2022,30/09/2022
701,L201900063,MANTRA EXPERIENTIAL SDN BHD,MEGA MAJU NEW GENERATION RUN 2019,18/08/2019,18/08/2019
702,L202200462,IRONGIRL MALAYSIA SDN BHD,MCIS LIFE MALAYSIAN WOMEN MARATHON 2022,29/05/2022,29/05/2022
703,L202501063,MST GOLF ARENA SDN BHD,MCIL GOLF INVATIONAL,30/07/2025,30/07/2025
704,L202400758,MST GOLF MANAGEMENT SDN BHD,MAYBANK REGIONAL CARDS-BATTLE OF THE REDS GOLF TOURNAMENT,25/04/2024,25/04/2024
705,L202300048,BIGNTALL SDN BHD @ BIG EVENTS,MAYBANK CHAMPIONSHIP 2023,26/10/2023,29/10/2023
706,L202501192,BIGNTALL SDN BHD,Maybank Championship,30/10/2025,02/11/2025
707,L202400878,BIGNTALL SDN BHD,MAYBANK CHAMPIONSHIP,24/10/2024,27/10/2024
708,L201900222,Hikers Training N Consultant,Mawaddah 5km Fun RUn 2019,21/12/2019,22/12/2019
709,L202501046,Hamburger Asia Sdn. Bhd,Matrix Malaysia Day Run 2025,13/09/2025,13/09/2025
710,L202300155,HYBRID MANAGEMENT SDN BHD,MATRIX DUATHLON 2023,25/11/2023,26/11/2023
711,L202200442,Comrades All Star Solutions,MATIC PINK ULTRA 2022,14/05/2022,14/05/2022
712,L202300658,DAGOO RESOURCES,Masters Tour de Malaysia Perlis 2023,25/02/2023,26/02/2023
713,L202601278,Linkedup Asia Sdn Bhd,MASTERS SERIES 2026 OVER FIFTIES ELITE CLUB (OFEC),26/02/2026,27/02/2026
714,L202601277,Linkedup Asia Sdn Bhd,MASTERS SERIES 2026 OVER FIFTIES ELITE CLUB (OFEC),05/03/2026,05/03/2026
715,L202501247,M Sports Sdn Bhd,Mask and Dash Fun Run 2025,07/12/2025,07/12/2025
716,L202501182,Endurance Nature Sdn Bhd,Marathon du Trans Penang,09/11/2025,09/11/2025
717,L201900037,KAZOKU EVENTS,Mapei Fun Run,25/08/2019,25/08/2019
718,L202400893,Score Sports Management Sdn Bhd,Manjung Run 2024,19/10/2024,19/10/2024
719,L201900237,KAPT EVENT MANAGEMENT,MANCHESTER UNITED FUN RUN @UNIFI,07/12/2019,07/12/2019
720,L202400834,Kazoku Events,MAN OF STEEL TRIATHLON 2024,10/08/2024,11/08/2024
721,L202300038,KAZOKU EVENTS,MAN OF STEEL TRIATHLON 2023,05/08/2023,06/08/2023
722,L202000368,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,MALAYSIAN PREMEIR ELITE,29/12/2020,27/01/2021
723,L202000369,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,MALAYSIAN JUNIOR GOLF TOUR,09/01/2021,28/02/2021
724,L202300075,MST GOLF MANAGEMENT SDN BHD,MALAYSIAN HUMANITARIAN FOUNDATION CHARITY GOLF DAY 2023,09/11/2023,09/11/2023
725,L202400955,RUNBIKEAWAY SERVICES,MALAYSIA-CHINA RUN 2024,08/12/2024,08/12/2024
726,L202000307,Irongirl Malaysia Sdn Bhd,malaysia women marathon 2020,08/03/2020,08/03/2020
727,L202501171,World Endurance Malaysia SDN BHD,Malaysia Ultra - Trail by UTMB 2025,26/09/2025,28/09/2025
728,L202400903,World Endurance Malaysia SDN BHD,Malaysia Ultra - Trail by UTMB 2024,15/11/2024,17/11/2024
729,L202501058,Ultimate Outdoor Venture,Malaysia Ultimate Open 2025,14/06/2025,15/06/2025
730,L202501015,SKATESCAPE STORE,MALAYSIA THRILLFEST 2025,16/05/2025,18/05/2025
731,L202501165,Malaysian Marathon Official Sdn Bhd,Malaysia Sarong Music Run 2025,20/09/2025,20/09/2025
732,L202000365,HYBRID MANAGEMENT SDN BHD,Malaysia Open Water Swimming (OWS) Championship 2020,22/11/2020,22/11/2020
733,L202100393,MMTF CONSULTANT,MALAYSIA MOUNTAIN TRAIL FESTIVAL 2021,17/12/2021,19/12/2021
